x,y,N,E,S,W
0,0,Blank,Out,Blank,In
2,0,Blank,Out,Blank,In
4,0,Blank,Out,Blank,In
6,0,Blank,Out,Blank,In
1,1,Blank,Out,Blank,In
3,1,Blank,Out,Blank,In
5,1,Blank,Out,Blank,In
7,1,Blank,Out,Blank,In
0,2,Blank,Out,Blank,In
2,2,Blank,Out,Blank,In
4,2,Blank,Out,Blank,In
6,2,Blank,Out,Blank,In
1,3,Blank,Out,Blank,In
3,3,Blank,Out,Blank,In
5,3,Blank,Out,Blank,In
7,3,Blank,Out,Blank,In
0,4,Blank,Out,Blank,In
2,4,Blank,Out,Blank,In
4,4,Blank,Out,Blank,In
6,4,Blank,Out,Blank,In
1,5,Blank,Out,Blank,In
3,5,Blank,Out,Blank,In
5,5,Blank,Out,Blank,In
7,5,Blank,Out,Blank,In
0,6,Blank,Out,Blank,In
2,6,Blank,Out,Blank,In
4,6,Blank,Out,Blank,In
6,6,Blank,Out,Blank,In
1,7,Blank,Out,Blank,In
3,7,Blank,Out,Blank,In
5,7,Blank,Out,Blank,In
7,7,Blank,Out,Blank,In

