x,y,N,E,S,W
0,0,Blank,Out,In,Blank
2,0,Blank,In,Out,Blank
4,0,Out,In,In,Out
6,0,In,Out,Out,In
1,1,Out,Blank,In,Blank
3,1,In,Out,Out,In
5,1,Blank,Blank,Out,In
7,1,Out,In,In,Out
0,2,Blank,Out,Out,Out
2,2,Out,Blank,Out,Out
4,2,Out,In,In,Out
6,2,In,Out,Blank,Blank
1,3,Blank,Out,Blank,In
3,3,Out,In,Blank,Blank
5,3,Blank,In,Out,Blank
7,3,Blank,Blank,Blank,Blank
0,4,Blank,Out,Out,Out
2,4,In,Out,Out,In
4,4,In,Out,Blank,Blank
6,4,Out,Out,In,In
1,5,Blank,In,Blank,Out
3,5,Out,Blank,Out,Out
5,5,Blank,Blank,Blank,Blank
7,5,Blank,Out,Out,Out
0,6,In,Blank,Out,Blank
2,6,Blank,Out,Out,Out
4,6,Blank,Blank,Out,In
6,6,Out,Out,Out,Blank
1,7,Blank,In,In,In
3,7,In,In,In,Blank
5,7,Out,Blank,Blank,In
7,7,Blank,Blank,In,Out

